vote_id,season,week,voter,vote
1,26,1,Brooklyn,Matt
2,26,1,Cam,Matt
3,26,1,Joseph,Matt
4,26,1,Kimo,Matt
5,26,1,Leah,Kenney
6,26,1,Lisa,Kenney
7,26,1,Makensy,Kenney
8,26,1,Quinn,Matt
9,26,1,Rubina,Matt
10,26,1,T'kor,Matt
11,26,1,Tucker,Matt
12,26,2,Brooklyn,Lisa
13,26,2,Cam,Lisa
14,26,2,Cedric,Lisa
15,26,2,Joseph,Lisa
16,26,2,Kenney,Angela
17,26,2,Kimo,Lisa
18,26,2,Leah,Lisa
19,26,2,Makensy,Lisa
20,26,2,Quinn,Lisa
21,26,2,Rubina,Lisa
22,26,2,T'kor,Lisa
23,26,2,Tucker,Lisa
24,26,3,Angela,Kenney
25,26,3,Brooklyn,Kenney
26,26,3,Cam,Kenney
27,26,3,Chelsie,Kenney
28,26,3,Joseph,Kenney
29,26,3,Kimo,Kenney
30,26,3,Leah,Kenney
31,26,3,Makensy,Kenney
32,26,3,Rubina,Kenney
33,26,3,T'kor,Kenney
34,26,3,Tucker,Quinn
35,26,4,Brooklyn,Rubina
36,26,4,Cam,Rubina
37,26,4,Chelsie,Rubina
38,26,4,Joseph,Cedric
39,26,4,Kimo,Cedric
40,26,4,Leah,Cedric
41,26,4,Makensy,Cedric
42,26,4,T'kor,Cedric
43,26,4,Tucker,Cedric
44,26,5,Angela,Brooklyn
45,26,5,Chelsie,Cam
46,26,5,Joseph,Brooklyn
47,26,5,Kimo,Brooklyn
48,26,5,Leah,Brooklyn
49,26,5,Makensy,Brooklyn
50,26,5,Quinn,Brooklyn
51,26,5,Rubina,Brooklyn
52,26,5,T'kor,Brooklyn
53,26,6,Cam,Tucker
54,26,6,Chelsie,Tucker
55,26,6,Joseph,Angela
56,26,6,Kimo,Angela
57,26,6,Leah,Tucker
58,26,6,Makensy,Tucker
59,26,6,Quinn,Tucker
60,26,6,Rubina,Angela
61,26,7,Angela,Kimo
62,26,7,Cam,Kimo
63,26,7,Chelsie,Joseph
64,26,7,Leah,Kimo
65,26,7,Makensy,Joseph
66,26,7,Rubina,Joseph
67,26,7,T'kor,Joseph
68,26,8,Angela,Kimo
69,26,8,Cam,Quinn
70,26,8,Leah,Kimo
71,26,8,Makensy,Quinn
72,26,8,Rubina,Quinn
73,26,8,T'kor,Quinn
74,26,9,Angela,T'kor
75,26,9,Cam,T'kor
76,26,9,Chelsie,T'kor
77,26,9,Kimo,Rubina
78,26,9,Makensy,T'kor
79,26,10,Cam,Leah
80,26,10,Cam,Angela
81,26,10,Chelsie,Leah
82,26,10,Kimo,Leah
83,26,10,Kimo,Angela
84,26,10,Makensy,Angela
85,26,10,Rubina,Leah
86,26,11,Cam,Kimo
87,26,11,Chelsie,Kimo
88,26,12,Makensy,Rubina
89,26,13,Makensy,Cam