id,game_id,end_order,start_order,player_id,player_score,bird_points,bonus_points,round_points,egg_points,food_points,tuck_points,forest_birds,grasslands_birds,wetlands_birds,egg_spent,food_spent,egg_capacity,cards_remaining,food_remaining,bonus_cards
1,1,1,4,3,83,36,18,4,13,6,6,3,2,4,7,18,27,2,0,4
2,1,2,1,4,67,29,6,4,15,0,13,2,2,2,3,12,15,4,2,1
3,1,3,2,2,86,35,3,14,25,6,3,5,3,2,9,17,30,0,1,1
4,1,4,3,1,86,30,3,12,24,0,17,0,5,3,8,14,24,10,1,1
5,2,1,4,3,72,32,5,12,18,1,4,2,2,3,4,15,19,7,4,3
6,2,2,1,2,87,40,8,9,23,1,6,4,3,3,8,22,29,4,0,2
7,2,3,2,4,71,40,7,7,15,2,0,2,3,3,5,15,20,9,0,1
8,2,4,3,1,86,36,5,8,24,4,9,5,5,0,12,21,29,1,2,2
9,3,1,1,3,71,26,6,6,14,16,3,2,4,0,5,12,15,0,5,2
10,3,2,2,1,86,34,2,17,22,7,4,2,4,2,6,15,23,0,3,1
11,3,3,3,2,66,31,0,8,24,3,0,3,4,2,7,19,24,3,2,1
12,4,1,1,3,70,27,8,10,17,8,0,2,2,3,4,12,22,6,2,3
13,4,2,2,2,68,25,0,10,29,0,4,3,4,1,6,16,29,0,6,1
14,4,3,3,1,83,25,4,16,31,0,7,1,3,4,6,15,31,1,0,1
15,5,1,1,1,101,42,6,12,21,0,20,4,2,5,11,17,21,3,7,2
16,5,2,2,3,79,32,7,9,18,0,13,3,2,2,4,14,18,0,3,2
17,5,3,3,2,86,39,10,14,11,2,10,2,3,5,9,19,30,3,6,2
18,6,1,2,1,75,47,4,12,10,0,2,3,2,3,5,19,19,5,1,1
19,6,2,1,2,84,31,6,19,20,5,3,2,3,4,7,15,26,0,0,2
20,7,1,2,1,83,37,12,18,4,8,4,3,1,5,8,17,28,0,1,2
21,7,2,1,5,68,36,9,8,11,4,0,3,4,2,7,18,25,0,1,2
22,8,1,1,6,87,39,15,15,10,1,7,3,2,4,7,19,26,2,1,3
23,8,2,2,7,81,40,12,6,4,0,19,2,4,4,9,22,27,1,1,2
24,8,3,3,1,92,39,10,16,10,0,17,1,3,5,8,20,30,7,0,3
25,9,1,1,2,84,45,10,11,7,7,4,4,3,3,8,20,20,7,0,1
26,9,2,2,5,77,37,4,16,10,8,2,3,3,4,8,17,26,1,2,1
27,9,3,3,1,75,41,9,7,3,3,12,4,3,3,8,21,30,3,2,2
28,10,1,1,5,66,42,4,9,7,0,4,5,4,0,10,17,19,0,7,2
29,10,2,2,1,70,32,9,10,17,0,2,4,3,2,7,18,24,3,0,3
30,10,3,3,2,91,38,8,14,16,2,13,4,5,2,11,18,28,1,0,2
31,11,1,1,2,91,34,6,18,23,2,8,3,3,3,6,16,26,1,2,1
32,11,2,2,5,66,44,4,7,4,0,7,3,3,3,6,19,23,1,3,1
33,11,3,3,1,67,30,7,11,19,0,0,2,4,2,6,14,23,1,1,3
34,12,1,1,8,66,33,7,9,15,1,1,3,4,2,7,19,27,0,2,1
35,12,2,2,1,103,40,15,14,25,0,9,4,5,2,11,19,31,2,0,3
36,12,3,3,5,63,34,0,12,7,6,4,4,3,1,6,16,21,1,4,1
37,13,1,1,1,82,34,8,9,27,0,3,4,3,2,7,15,29,0,2,1
38,13,2,2,8,86,31,4,9,29,3,6,3,4,5,12,19,33,2,1,1
39,13,3,3,5,81,39,6,14,14,4,9,2,5,1,7,19,27,0,0,2
40,14,1,2,8,84,46,15,12,4,7,0,4,2,4,9,18,23,6,2,3
41,14,2,1,1,100,34,11,19,22,0,14,1,3,5,8,19,27,3,2,2
42,15,1,4,1,61,22,4,2,23,0,10,2,3,3,5,10,23,5,1,2
43,15,2,1,2,67,40,7,12,12,0,6,4,2,3,7,19,25,2,0,1
44,15,3,2,8,70,30,3,11,26,0,0,4,4,2,9,20,34,1,1,1
45,15,4,3,5,77,43,4,9,9,0,2,4,3,4,10,21,31,2,9,2
46,16,1,4,5,100,47,15,8,30,0,0,4,4,4,12,25,35,6,2,3
47,16,2,1,1,89,38,13,10,22,1,5,3,3,4,8,17,25,0,2,2
48,16,3,2,2,82,36,4,8,12,0,22,2,2,5,8,15,25,3,0,1
49,16,4,3,8,77,39,2,10,15,8,3,4,2,5,11,18,29,6,3,2
50,17,1,1,1,87,42,17,10,18,0,0,3,3,4,8,22,30,3,1,3
51,17,2,2,8,88,32,12,17,7,19,1,4,4,3,10,19,29,4,2,1
52,17,3,3,2,91,39,18,9,13,6,6,2,4,3,7,20,21,1,0,2
53,18,1,4,8,83,61,9,6,7,0,0,3,3,5,10,29,23,3,0,4
54,18,2,1,2,58,35,7,1,2,7,6,3,3,3,6,17,26,8,2,2
55,18,3,2,5,73,34,8,9,13,2,7,2,5,2,8,20,25,3,0,2
56,18,4,3,1,92,39,10,19,20,0,4,3,4,2,7,22,26,0,0,4
57,19,1,2,1,95,38,11,14,23,9,0,4,2,4,9,16,23,2,0,2
58,19,2,1,1,86,27,10,17,16,0,16,3,2,3,5,12,20,0,0,2