team,win_rate
Kansas City Chiefs,0.645520371
Philadelphia Eagles,0.622788278
San Francisco 49ers,0.619743983
Detroit Lions,0.610716169
Baltimore Ravens,0.609737905
Cincinnati Bengals,0.602048409
New York Jets,0.579882154
Atlanta Falcons,0.569214906
Houston Texans,0.567565668
Dallas Cowboys,0.565308301
Buffalo Bills,0.560509022
Green Bay Packers,0.558922879
Miami Dolphins,0.551971178
Chicago Bears,0.526809088
Los Angeles Rams,0.520778736
Los Angeles Chargers,0.515571836
Cleveland Browns,0.510736702
Jacksonville Jaguars,0.495505731
Indianapolis Colts,0.489092415
Tampa Bay Buccaneers,0.468550746
Pittsburgh Steelers,0.468090972
Seattle Seahawks,0.467908047
New Orleans Saints,0.455301296
Las Vegas Raiders,0.416433677
Minnesota Vikings,0.404088391
Arizona Cardinals,0.403500966
Washington Commanders,0.393770696
Tennessee Titans,0.378725535
New York Giants,0.366874998
Carolina Panthers,0.347694437
Denver Broncos,0.344326363
New England Patriots,0.301151878